estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,both_lateral__B,both_lateral,B,2,30,1,0.36666666666666664,0.3660714285714286,0.4151785714285714,0.43742593827676074,5.0,9.0,10.0,6.0
rf,both_lateral__B,both_lateral,B,3,29,1,0.41379310344827586,0.4095238095238095,0.37142857142857144,0.45115995115995117,8.0,7.0,10.0,4.0
rf,both_lateral__B,both_lateral,B,4,28,1,0.42857142857142855,0.4285714285714286,0.3979591836734694,0.40437423860566235,9.0,5.0,11.0,3.0
rf,both_lateral__B,both_lateral,B,5,28,1,0.39285714285714285,0.39285714285714285,0.3112244897959184,0.4979238477536832,11.0,3.0,14.0,0.0
rf,both_lateral__B,both_lateral,B,6,28,1,0.39285714285714285,0.39285714285714285,0.3826530612244898,0.4423679459130396,6.0,8.0,9.0,5.0
rf,both_lateral__B,both_lateral,B,7,27,1,0.5555555555555556,0.554945054945055,0.4340659340659341,0.46829638817727304,8.0,6.0,6.0,7.0
rf,both_lateral__B,both_lateral,B,8,25,1,0.56,0.5487012987012987,0.538961038961039,0.4530517065968002,9.0,5.0,6.0,5.0
rf,both_lateral__B,both_lateral,B,9,25,1,0.6,0.5941558441558441,0.577922077922078,0.4956783620992356,9.0,5.0,5.0,6.0
rf,both_lateral__B,both_lateral,B,10,24,1,0.5833333333333334,0.5804195804195804,0.4475524475524475,0.48948626529454664,8.0,5.0,5.0,6.0
rf,both_lateral__C,both_lateral,C,1,32,1,0.875,0.8705882352941177,0.9333333333333333,0.6693833943833943,12.0,3.0,1.0,16.0
rf,both_lateral__C,both_lateral,C,2,30,1,0.7333333333333333,0.7142857142857143,0.6696428571428571,0.7074678803266439,6.0,8.0,0.0,16.0
rf,both_lateral__C,both_lateral,C,3,29,1,0.5517241379310345,0.5666666666666667,0.6666666666666666,0.7423910777569315,2.0,13.0,0.0,14.0
rf,both_lateral__C,both_lateral,C,4,28,1,0.75,0.75,0.8724489795918368,0.7137576295262057,13.0,1.0,6.0,8.0
rf,both_lateral__C,both_lateral,C,5,28,1,0.5,0.5,0.5102040816326531,0.7435772773265684,0.0,14.0,0.0,14.0
rf,both_lateral__C,both_lateral,C,6,28,1,0.6785714285714286,0.6785714285714286,0.9642857142857143,0.6791041881796277,14.0,0.0,9.0,5.0
