estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__n_estimators,svc__C,svc__gamma,xgb__learning_rate,xgb__max_depth,xgb__n_estimators
rf,left_lateral__A,left_lateral,A,4,0.7183770726028241,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,5,0.6902824439693415,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,6,0.6211066301820697,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,7,0.6609591958429167,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,8,0.6348193465323358,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,9,0.6473003268238663,10.0,sqrt,200.0,,,,,
rf,left_lateral__A,left_lateral,A,10,0.7012442715789283,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,1,0.5043040293040293,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,2,0.5024177624858283,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,3,0.5754489413025998,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,4,0.5728606334108319,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,5,0.5655048455672392,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,6,0.5023117992488384,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,7,0.5041552479158832,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,8,0.4921940415417443,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,9,0.47517309060133783,10.0,sqrt,200.0,,,,,
rf,left_lateral__B,left_lateral,B,10,0.5372201064203334,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,1,0.6817918192918193,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,2,0.7272691542402262,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,3,0.701241847583311,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,4,0.7086400553502085,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,5,0.7341861988770667,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,6,0.6544995938075915,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,7,0.6530226879064088,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,8,0.6232049446740314,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,9,0.627269985324438,10.0,sqrt,200.0,,,,,
rf,left_lateral__C,left_lateral,C,10,0.7083367096129433,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,1,0.6369200244200245,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,2,0.7290154699400304,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,3,0.7215521605765508,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,4,0.7502417069915652,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,5,0.7353116254137241,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,6,0.6588712699036011,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,7,0.7023241616264873,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,8,0.6648007094688887,10.0,sqrt,200.0,,,,,
rf,right_lateral__A,right_lateral,A,9,0.6726314273109507,10.0,sqrt,200.0,,,,,
