estimator,model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
svm,B_wpli_edges_epoch_sliding,5,28,1,0.42857142857142855,0.4285714285714286,0.2755102040816326,5.0,9.0,7.0,7.0
svm,B_wpli_edges_epoch_sliding,6,28,1,0.5,0.5,0.5204081632653061,2.0,12.0,2.0,12.0
svm,B_wpli_edges_epoch_sliding,7,27,1,0.48148148148148145,0.489010989010989,0.4725274725274725,4.0,10.0,4.0,9.0
svm,B_wpli_edges_epoch_sliding,8,25,1,0.56,0.5876623376623377,0.6753246753246753,5.0,9.0,2.0,9.0
svm,B_wpli_edges_epoch_sliding,9,25,1,0.44,0.4318181818181818,0.49350649350649356,7.0,7.0,7.0,4.0
svm,B_wpli_edges_epoch_sliding,10,24,1,0.7083333333333334,0.7307692307692308,0.7202797202797203,6.0,7.0,0.0,11.0
svm,C_AplusB_epoch_sliding,1,32,1,0.6875,0.6941176470588235,0.8,12.0,3.0,7.0,10.0
svm,C_AplusB_epoch_sliding,2,30,1,0.6,0.6026785714285714,0.6026785714285714,9.0,5.0,7.0,9.0
svm,C_AplusB_epoch_sliding,3,29,1,0.4482758620689655,0.45,0.5285714285714286,6.0,9.0,7.0,7.0
svm,C_AplusB_epoch_sliding,4,28,1,0.7857142857142857,0.7857142857142857,0.8775510204081632,12.0,2.0,4.0,10.0
svm,C_AplusB_epoch_sliding,5,28,1,0.39285714285714285,0.39285714285714285,0.35204081632653056,0.0,14.0,3.0,11.0
svm,C_AplusB_epoch_sliding,6,28,1,0.4642857142857143,0.4642857142857143,0.5255102040816326,4.0,10.0,5.0,9.0
svm,C_AplusB_epoch_sliding,7,27,1,0.5925925925925926,0.5934065934065934,0.5494505494505495,8.0,6.0,5.0,8.0
svm,C_AplusB_epoch_sliding,8,25,1,0.56,0.5876623376623377,0.7207792207792207,5.0,9.0,2.0,9.0
svm,C_AplusB_epoch_sliding,9,25,1,0.6,0.6136363636363636,0.6168831168831169,7.0,7.0,3.0,8.0
svm,C_AplusB_epoch_sliding,10,24,1,0.6666666666666666,0.6923076923076923,0.7342657342657343,5.0,8.0,0.0,11.0
xgb,A_bandpower_epoch,1,32,1,0.8125,0.8156862745098039,0.9411764705882353,13.0,2.0,4.0,13.0
xgb,A_bandpower_epoch,2,30,1,0.7333333333333333,0.7142857142857143,0.9464285714285714,6.0,8.0,0.0,16.0
xgb,A_bandpower_epoch,3,29,1,0.7586206896551724,0.75,0.8285714285714285,15.0,0.0,7.0,7.0
xgb,A_bandpower_epoch,4,28,1,0.5357142857142857,0.5357142857142857,0.7244897959183674,13.0,1.0,12.0,2.0
xgb,A_bandpower_epoch,5,28,1,0.5,0.5,0.2806122448979592,0.0,14.0,0.0,14.0
xgb,A_bandpower_epoch,6,28,1,1.0,1.0,1.0,14.0,0.0,0.0,14.0
xgb,A_bandpower_epoch,7,27,1,0.5185185185185185,0.5,0.9285714285714286,14.0,0.0,13.0,0.0
xgb,A_bandpower_epoch,8,25,1,1.0,1.0,1.0,14.0,0.0,0.0,11.0
xgb,A_bandpower_epoch,9,25,1,0.92,0.9285714285714286,0.9025974025974026,12.0,2.0,0.0,11.0
xgb,A_bandpower_epoch,10,24,1,0.5416666666666666,0.5699300699300699,0.6503496503496503,3.0,10.0,1.0,10.0
xgb,B_wpli_edges_epoch_sliding,1,32,1,0.625,0.6392156862745098,0.5254901960784314,13.0,2.0,10.0,7.0
xgb,B_wpli_edges_epoch_sliding,2,30,1,0.4,0.41964285714285715,0.3482142857142857,10.0,4.0,14.0,2.0
xgb,B_wpli_edges_epoch_sliding,3,29,1,0.5172413793103449,0.5142857142857142,0.5476190476190476,9.0,6.0,8.0,6.0
xgb,B_wpli_edges_epoch_sliding,4,28,1,0.5,0.5,0.7295918367346939,12.0,2.0,12.0,2.0
xgb,B_wpli_edges_epoch_sliding,5,28,1,0.2857142857142857,0.2857142857142857,0.19387755102040818,2.0,12.0,8.0,6.0
xgb,B_wpli_edges_epoch_sliding,6,28,1,0.42857142857142855,0.42857142857142855,0.37244897959183676,8.0,6.0,10.0,4.0
xgb,B_wpli_edges_epoch_sliding,7,27,1,0.5185185185185185,0.5164835164835164,0.554945054945055,8.0,6.0,7.0,6.0
xgb,B_wpli_edges_epoch_sliding,8,25,1,0.44,0.4512987012987013,0.5454545454545454,5.0,9.0,5.0,6.0
xgb,B_wpli_edges_epoch_sliding,9,25,1,0.48,0.4967532467532467,0.525974025974026,5.0,9.0,4.0,7.0
xgb,B_wpli_edges_epoch_sliding,10,24,1,0.625,0.6468531468531469,0.6713286713286714,5.0,8.0,1.0,10.0
xgb,C_AplusB_epoch_sliding,1,32,1,0.6875,0.6901960784313725,0.8235294117647058,11.0,4.0,6.0,11.0
xgb,C_AplusB_epoch_sliding,2,30,1,0.6333333333333333,0.6116071428571428,0.625,4.0,10.0,1.0,15.0
xgb,C_AplusB_epoch_sliding,3,29,1,0.5172413793103449,0.5214285714285715,0.6380952380952382,6.0,9.0,5.0,9.0
xgb,C_AplusB_epoch_sliding,4,28,1,0.8214285714285714,0.8214285714285714,0.9336734693877551,14.0,0.0,5.0,9.0
xgb,C_AplusB_epoch_sliding,5,28,1,0.5,0.5,0.5102040816326531,0.0,14.0,0.0,14.0
xgb,C_AplusB_epoch_sliding,6,28,1,0.6071428571428571,0.6071428571428572,0.6428571428571429,10.0,4.0,7.0,7.0
xgb,C_AplusB_epoch_sliding,7,27,1,0.5555555555555556,0.5412087912087913,0.7582417582417583,13.0,1.0,11.0,2.0
xgb,C_AplusB_epoch_sliding,8,25,1,0.84,0.8181818181818181,0.9285714285714285,14.0,0.0,4.0,7.0
xgb,C_AplusB_epoch_sliding,9,25,1,0.76,0.7467532467532467,0.8376623376623377,12.0,2.0,4.0,7.0
xgb,C_AplusB_epoch_sliding,10,24,1,0.6666666666666666,0.6853146853146853,0.6363636363636364,6.0,7.0,1.0,10.0
