estimator,model,obs_bacc,null_bacc_mean,p_perm_bacc,p_ttest_bacc,obs_auc,null_auc_mean,p_perm_auc,p_ttest_auc,obs_acc,null_acc_mean,p_perm_acc,p_ttest_acc
rf,A_bandpower_epoch,0.7070964329787859,0.4992946929418621,0.01098901098901099,0.0,0.8030798525703988,0.498266003098792,0.00999000999000999,0.0,0.7053567779602262,0.4993396000045612,0.00999000999000999,0.0
rf,B_wpli_edges_epoch_sliding,0.47397801952949015,0.49897468835086484,0.5634365634365635,4.856646813015898e-67,0.488568068835926,0.4996828942241232,0.8531468531468531,9.839958215447529e-09,0.46692629082284254,0.4990759453794928,0.43456543456543456,3.158197097113005e-101
rf,C_AplusB_epoch_sliding,0.6712525832011126,0.5000455533559578,0.011988011988011988,0.0,0.819950044703196,0.49936508045700795,0.001998001998001998,0.0,0.6754633962780514,0.5000106656403941,0.01098901098901099,0.0
svm,A_bandpower_epoch,0.7203023447141094,0.5016996223996592,0.006993006993006993,0.0,0.8496261599045212,0.4998324582595276,0.015984015984015984,0.0,0.7248627303411787,0.5016390231709542,0.006993006993006993,0.0
svm,B_wpli_edges_epoch_sliding,0.5339410589410589,0.5007383892945291,0.4485514485514486,1.5755063217602132e-108,0.5779955338778867,0.49999999392064526,0.2647352647352647,5.730332161512909e-188,0.5239418673599708,0.500958597952016,0.6233766233766234,4.077901335319226e-56
svm,C_AplusB_epoch_sliding,0.5888654360345538,0.5004425433879846,0.04795204795204795,0.0,0.6170724810903383,0.5005664902656867,0.0939060939060939,5.077052520885783e-292,0.5839558930852033,0.5005622370233535,0.07092907092907093,3.6946e-319
xgb,A_bandpower_epoch,0.7127740886564417,0.4988569584704511,0.011988011988011988,0.0,0.8485729309206199,0.4984151152593905,0.006993006993006993,0.0,0.7133869503740192,0.4987909123107097,0.011988011988011988,0.0
xgb,B_wpli_edges_epoch_sliding,0.5195657161465984,0.5004124795057883,0.6283716283716284,3.202545516478906e-47,0.49646618612479954,0.5000758593297459,0.9410589410589411,0.03432595780535405,0.5114024584929757,0.5003732729885058,0.7472527472527473,8.293557791359238e-18
xgb,C_AplusB_epoch_sliding,0.652230930833872,0.4996288632813265,0.00999000999000999,0.0,0.7577959208158789,0.4995688591520524,0.001998001998001998,0.0,0.6564449005655902,0.4996151731207809,0.008991008991008992,0.0
