estimator,model,obs_bacc,null_bacc_mean,p_perm_bacc,p_ttest_bacc,obs_auc,null_auc_mean,p_perm_auc,p_ttest_auc,obs_acc,null_acc_mean,p_perm_acc,p_ttest_acc
rf,A_bandpower_epoch,0.7247521106344637,0.47914085097908626,0.07692307692307693,3.2243160717283612e-06,0.833719242941932,0.46698812392089706,0.07692307692307693,9.727975544701662e-07,0.7242377303411787,0.4801854797634251,0.07692307692307693,2.7871767562458307e-06
rf,B_wpli_edges_epoch_sliding,0.48975405721729254,0.48680284482674185,0.9230769230769231,0.7389102178433944,0.4705380159056629,0.48798951150973213,0.8461538461538461,0.2753668785908663,0.48185497628170043,0.48782590426017153,0.7692307692307693,0.4888904454841525
rf,C_AplusB_epoch_sliding,0.6591059308338719,0.48163657114943886,0.07692307692307693,8.085758072392503e-10,0.7898423880041527,0.45234005752650713,0.07692307692307693,1.5203348396271872e-12,0.664194490056559,0.4813961640211641,0.07692307692307693,4.4266058986355815e-10
svm,A_bandpower_epoch,0.6879222738046267,0.4745856023061905,0.07692307692307693,5.989797160738085e-06,0.7523457442417526,0.4545937588322042,0.07692307692307693,4.553579682133384e-05,0.6901749224594051,0.47533323830809465,0.07692307692307693,5.306028218922313e-06
svm,B_wpli_edges_epoch_sliding,0.5633378386319563,0.47234987643075876,0.07692307692307693,9.015639460086762e-05,0.5876524316020114,0.4621424336051437,0.07692307692307693,0.00025188809652204835,0.5569597245028279,0.47313683634373294,0.15384615384615385,0.0002137845819059065
svm,C_AplusB_epoch_sliding,0.5876666348357525,0.46746583583899753,0.07692307692307693,6.848121114781079e-06,0.6307730662194947,0.45464316947641525,0.07692307692307693,5.138121413476176e-06,0.5797892264185368,0.467278802149851,0.07692307692307693,1.6121663154342946e-05
xgb,A_bandpower_epoch,0.7314187773011303,0.4841004665269371,0.07692307692307693,8.400823040966112e-07,0.8202796992923045,0.4633967728991364,0.07692307692307693,1.8639791318454802e-06,0.7320353493887978,0.48478005838350663,0.07692307692307693,7.169200236774477e-07
xgb,B_wpli_edges_epoch_sliding,0.4898818583377407,0.5038585689229071,0.46153846153846156,0.13770037109913566,0.5014944194461002,0.5083507571152004,0.8461538461538461,0.5968440766531864,0.4820045612114578,0.5050458724837318,0.46153846153846156,0.023567640161146812
xgb,C_AplusB_epoch_sliding,0.6543261762747058,0.4825966731389526,0.07692307692307693,3.268313014946268e-09,0.7334198504576657,0.47562552060451213,0.07692307692307693,2.0090088379656485e-10,0.6588868363437329,0.4819784045642523,0.07692307692307693,3.1103146909330335e-09
