model,obs_acc,null_mean,p_perm_two_sided,t_stat,p_ttest_two_sided
C_AplusB_epoch_sliding,0.6385425685425685,0.4999460678210678,0.007992007992007992,-77.18689890735602,0.0
A_bandpower_epoch,0.7038143338143337,0.4992269504569505,0.015984015984015984,-71.70753672794724,0.0
B_wpli_edges_epoch_sliding,0.5289730639730639,0.5001253102453103,0.5494505494505495,-18.717611353367857,3.0165719910741104e-67
