estimator,model,fold,n_iter,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,pca_n_components,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
svm,C_AplusB_epoch_sliding,5,12,0.6050595135628999,,,,,,100.0,1.0,scale,,,,,
svm,C_AplusB_epoch_sliding,6,12,0.5866064051002191,,,,,,100.0,10.0,scale,,,,,
svm,C_AplusB_epoch_sliding,7,12,0.5990223271593618,,,,,,100.0,10.0,scale,,,,,
svm,C_AplusB_epoch_sliding,8,12,0.5857019434868467,,,,,,100.0,1.0,scale,,,,,
svm,C_AplusB_epoch_sliding,9,12,0.5818148157561531,,,,,,100.0,10.0,scale,,,,,
svm,C_AplusB_epoch_sliding,10,12,0.5652235695339144,,,,,,100.0,10.0,scale,,,,,
xgb,A_bandpower_epoch,1,32,0.6712962962962963,,,,,,,,,1.0,0.1,6.0,600.0,0.8
xgb,A_bandpower_epoch,2,32,0.7124213191023536,,,,,,,,,1.0,0.1,3.0,300.0,0.8
xgb,A_bandpower_epoch,3,32,0.6743999767313809,,,,,,,,,1.0,0.1,6.0,600.0,0.8
xgb,A_bandpower_epoch,4,32,0.7441282965731308,,,,,,,,,0.8,0.05,6.0,600.0,0.8
xgb,A_bandpower_epoch,5,32,0.7683612621170719,,,,,,,,,1.0,0.05,6.0,300.0,0.8
xgb,A_bandpower_epoch,6,32,0.6664140141963169,,,,,,,,,0.8,0.1,6.0,600.0,0.8
xgb,A_bandpower_epoch,7,32,0.7421144324225197,,,,,,,,,0.8,0.05,6.0,600.0,1.0
xgb,A_bandpower_epoch,8,32,0.7030711351306389,,,,,,,,,1.0,0.05,3.0,300.0,0.8
xgb,A_bandpower_epoch,9,32,0.7140561989174269,,,,,,,,,0.8,0.05,3.0,300.0,1.0
xgb,A_bandpower_epoch,10,32,0.762769199191613,,,,,,,,,1.0,0.05,3.0,300.0,0.8
xgb,B_wpli_edges_epoch_sliding,1,32,0.4773478835978836,,,,,,100.0,,,0.8,0.05,3.0,300.0,1.0
xgb,B_wpli_edges_epoch_sliding,2,32,0.5169277960226236,,,,,,100.0,,,1.0,0.05,3.0,600.0,0.8
xgb,B_wpli_edges_epoch_sliding,3,32,0.48487467295703984,,,,,,100.0,,,0.8,0.05,6.0,600.0,0.8
xgb,B_wpli_edges_epoch_sliding,4,32,0.5042999737803531,,,,,,100.0,,,0.8,0.05,6.0,300.0,0.8
xgb,B_wpli_edges_epoch_sliding,5,32,0.5551239092029673,,,,,,100.0,,,0.8,0.05,6.0,300.0,1.0
xgb,B_wpli_edges_epoch_sliding,6,32,0.5668784482817173,,,,,,100.0,,,1.0,0.1,3.0,600.0,0.8
xgb,B_wpli_edges_epoch_sliding,7,32,0.5532404260230054,,,,,,100.0,,,1.0,0.05,3.0,600.0,0.8
xgb,B_wpli_edges_epoch_sliding,8,32,0.5421380203760355,,,,,,100.0,,,0.8,0.1,3.0,300.0,0.8
xgb,B_wpli_edges_epoch_sliding,9,32,0.5161599421744502,,,,,,100.0,,,0.8,0.05,3.0,300.0,0.8
xgb,B_wpli_edges_epoch_sliding,10,32,0.5351498357963875,,,,,,100.0,,,0.8,0.1,3.0,300.0,0.8
xgb,C_AplusB_epoch_sliding,1,32,0.6160714285714286,,,,,,100.0,,,0.8,0.1,3.0,300.0,0.8
xgb,C_AplusB_epoch_sliding,2,32,0.6149995438788542,,,,,,100.0,,,1.0,0.1,3.0,600.0,0.8
xgb,C_AplusB_epoch_sliding,3,32,0.6777785155347016,,,,,,100.0,,,1.0,0.1,3.0,600.0,0.8
xgb,C_AplusB_epoch_sliding,4,32,0.6469767760561107,,,,,,100.0,,,0.8,0.05,6.0,300.0,1.0
xgb,C_AplusB_epoch_sliding,5,32,0.7433193695269854,,,,,,100.0,,,0.8,0.05,6.0,300.0,0.8
xgb,C_AplusB_epoch_sliding,6,32,0.6905043833300661,,,,,,100.0,,,0.8,0.1,3.0,600.0,0.8
xgb,C_AplusB_epoch_sliding,7,32,0.6584992364215838,,,,,,100.0,,,1.0,0.05,6.0,300.0,0.8
xgb,C_AplusB_epoch_sliding,8,32,0.6110710935406058,,,,,,100.0,,,1.0,0.05,6.0,300.0,1.0
xgb,C_AplusB_epoch_sliding,9,32,0.6511281681592868,,,,,,100.0,,,1.0,0.05,3.0,300.0,1.0
xgb,C_AplusB_epoch_sliding,10,32,0.7094267083491221,,,,,,100.0,,,1.0,0.1,6.0,600.0,0.8
