estimator,model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
svm,B_wpli_edges_epoch_sliding,5,28,1,0.42857142857142855,0.4285714285714286,0.2755102040816326,5.0,9.0,7.0,7.0
svm,B_wpli_edges_epoch_sliding,6,28,1,0.42857142857142855,0.4285714285714286,0.4693877551020408,2.0,12.0,4.0,10.0
svm,B_wpli_edges_epoch_sliding,7,27,1,0.48148148148148145,0.489010989010989,0.4835164835164835,4.0,10.0,4.0,9.0
svm,B_wpli_edges_epoch_sliding,8,25,1,0.52,0.551948051948052,0.5714285714285714,4.0,10.0,2.0,9.0
svm,B_wpli_edges_epoch_sliding,9,25,1,0.44,0.4318181818181818,0.49350649350649356,7.0,7.0,7.0,4.0
svm,B_wpli_edges_epoch_sliding,10,24,1,0.7083333333333334,0.7237762237762237,0.7062937062937062,7.0,6.0,1.0,10.0
svm,C_AplusB_epoch_sliding,1,32,1,0.6875,0.6941176470588235,0.8,12.0,3.0,7.0,10.0
svm,C_AplusB_epoch_sliding,2,30,1,0.6,0.6026785714285714,0.6026785714285714,9.0,5.0,7.0,9.0
svm,C_AplusB_epoch_sliding,3,29,1,0.4482758620689655,0.45,0.5285714285714286,6.0,9.0,7.0,7.0
svm,C_AplusB_epoch_sliding,4,28,1,0.7857142857142857,0.7857142857142857,0.8775510204081632,12.0,2.0,4.0,10.0
svm,C_AplusB_epoch_sliding,5,28,1,0.39285714285714285,0.39285714285714285,0.32142857142857145,1.0,13.0,4.0,10.0
svm,C_AplusB_epoch_sliding,6,28,1,0.4642857142857143,0.4642857142857143,0.5255102040816326,4.0,10.0,5.0,9.0
svm,C_AplusB_epoch_sliding,7,27,1,0.5925925925925926,0.5934065934065934,0.5494505494505495,8.0,6.0,5.0,8.0
svm,C_AplusB_epoch_sliding,8,25,1,0.56,0.5876623376623377,0.7207792207792207,5.0,9.0,2.0,9.0
svm,C_AplusB_epoch_sliding,9,25,1,0.6,0.5941558441558441,0.5454545454545454,9.0,5.0,5.0,6.0
svm,C_AplusB_epoch_sliding,10,24,1,0.7083333333333334,0.7237762237762237,0.6993006993006993,7.0,6.0,1.0,10.0
xgb,A_bandpower_epoch,1,32,1,0.84375,0.8490196078431372,0.9607843137254902,14.0,1.0,4.0,13.0
xgb,A_bandpower_epoch,2,30,1,0.6666666666666666,0.6428571428571428,0.9866071428571428,4.0,10.0,0.0,16.0
xgb,A_bandpower_epoch,3,29,1,0.6551724137931034,0.6428571428571428,0.9238095238095239,15.0,0.0,10.0,4.0
xgb,A_bandpower_epoch,4,28,1,0.5714285714285714,0.5714285714285714,0.7806122448979592,13.0,1.0,11.0,3.0
xgb,A_bandpower_epoch,5,28,1,0.5,0.5,0.32142857142857145,0.0,14.0,0.0,14.0
xgb,A_bandpower_epoch,6,28,1,1.0,1.0,1.0,14.0,0.0,0.0,14.0
