estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
rf,both_lateral__C,both_lateral,C,3,0.7901176772062855,5.0,sqrt,2.0,2.0,400.0,,,,,,,
rf,both_lateral__C,both_lateral,C,4,0.7740659675307323,10.0,0.3,5.0,2.0,400.0,,,,,,,
rf,both_lateral__C,both_lateral,C,5,0.8133627510979111,5.0,0.3,4.0,2.0,400.0,,,,,,,
rf,both_lateral__C,both_lateral,C,6,0.745019928512525,10.0,sqrt,5.0,2.0,400.0,,,,,,,
rf,both_lateral__C,both_lateral,C,7,0.7563759983432088,10.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,both_lateral__C,both_lateral,C,8,0.7246218002630953,10.0,sqrt,2.0,10.0,800.0,,,,,,,
rf,both_lateral__C,both_lateral,C,9,0.6986081972415026,5.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,both_lateral__C,both_lateral,C,10,0.752518315018315,5.0,sqrt,2.0,6.0,400.0,,,,,,,
rf,left_lateral__A,left_lateral,A,1,0.7116402116402116,5.0,0.8,4.0,2.0,400.0,,,,,,,
rf,left_lateral__A,left_lateral,A,2,0.7499543878854225,10.0,0.8,4.0,2.0,200.0,,,,,,,
rf,left_lateral__A,left_lateral,A,3,0.7426781358006735,5.0,0.8,4.0,2.0,400.0,,,,,,,
rf,left_lateral__A,left_lateral,A,4,0.7466148228481679,10.0,0.8,4.0,2.0,800.0,,,,,,,
rf,left_lateral__A,left_lateral,A,5,0.8127323421978927,5.0,0.3,2.0,6.0,200.0,,,,,,,
rf,left_lateral__A,left_lateral,A,6,0.7391771059271393,5.0,0.8,4.0,10.0,800.0,,,,,,,
rf,left_lateral__A,left_lateral,A,7,0.7434874507547253,5.0,0.3,2.0,2.0,800.0,,,,,,,
rf,left_lateral__A,left_lateral,A,8,0.7212640789964171,5.0,0.3,4.0,2.0,800.0,,,,,,,
rf,left_lateral__A,left_lateral,A,9,0.6673823618209657,10.0,sqrt,2.0,10.0,800.0,,,,,,,
rf,left_lateral__A,left_lateral,A,10,0.7490803018820259,10.0,0.3,4.0,2.0,400.0,,,,,,,
rf,left_lateral__B,left_lateral,B,1,0.533068783068783,20.0,0.3,2.0,2.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,2,0.5396540321109287,10.0,sqrt,2.0,10.0,400.0,,,,,,,
rf,left_lateral__B,left_lateral,B,3,0.5467208066072105,10.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,4,0.5453922366658633,10.0,0.3,5.0,2.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,5,0.5504656256213845,5.0,0.3,2.0,10.0,800.0,,,,,,,
rf,left_lateral__B,left_lateral,B,6,0.5200539824352958,5.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,7,0.5368211187135206,5.0,sqrt,2.0,6.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,8,0.5444300933157115,20.0,0.8,4.0,2.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,9,0.5417817131704853,10.0,0.3,2.0,2.0,200.0,,,,,,,
rf,left_lateral__B,left_lateral,B,10,0.5270225464190982,5.0,0.8,5.0,2.0,400.0,,,,,,,
rf,left_lateral__C,left_lateral,C,1,0.7134589947089948,10.0,0.8,4.0,2.0,200.0,,,,,,,
rf,left_lateral__C,left_lateral,C,2,0.7352501824484583,5.0,0.8,2.0,10.0,800.0,,,,,,,
rf,left_lateral__C,left_lateral,C,3,0.7574864981700116,5.0,0.3,2.0,2.0,800.0,,,,,,,
rf,left_lateral__C,left_lateral,C,4,0.7429658536819574,5.0,0.3,4.0,2.0,400.0,,,,,,,
rf,left_lateral__C,left_lateral,C,5,0.8254382583526381,5.0,0.3,4.0,2.0,400.0,,,,,,,
rf,left_lateral__C,left_lateral,C,6,0.7339472876191039,5.0,0.3,2.0,2.0,400.0,,,,,,,
rf,left_lateral__C,left_lateral,C,7,0.7586675240456061,5.0,0.3,4.0,10.0,800.0,,,,,,,
rf,left_lateral__C,left_lateral,C,8,0.7446040782878462,5.0,0.3,4.0,2.0,200.0,,,,,,,
rf,left_lateral__C,left_lateral,C,9,0.6949688767918372,5.0,sqrt,2.0,10.0,800.0,,,,,,,
rf,left_lateral__C,left_lateral,C,10,0.7449988947833776,10.0,0.8,2.0,10.0,400.0,,,,,,,
rf,right_lateral__A,right_lateral,A,1,0.6441798941798942,5.0,sqrt,2.0,2.0,200.0,,,,,,,
rf,right_lateral__A,right_lateral,A,2,0.6891933497536946,10.0,sqrt,2.0,2.0,200.0,,,,,,,
rf,right_lateral__A,right_lateral,A,3,0.7365266849021441,10.0,0.3,5.0,2.0,200.0,,,,,,,
rf,right_lateral__A,right_lateral,A,4,0.7505124995345106,20.0,0.3,2.0,2.0,800.0,,,,,,,
