model,bacc_mean,bacc_sd,auc_mean,auc_sd,acc_mean,p_perm_bacc,p_perm_auc
A bandpower (24),0.7070964329787859,0.19081185313629312,0.8030798525703988,0.26940058648774867,0.7053567779602262,0.0109890109890109,0.0099900099900099
B wPLI (5673),0.47397801952949015,0.16506688816456838,0.488568068835926,0.201736221372752,0.4669262908228425,0.5634365634365635,0.8531468531468531
C A+B (5697),0.6712525832011126,0.09691247375465863,0.8199500447031959,0.06755481567021013,0.6754633962780514,0.0119880119880119,0.0019980019980019
