estimator,model,bacc_mean,bacc_sd,auc_mean,auc_sd,p_perm_bacc,p_perm_auc
Random forest,A power (24),0.7070964329787859,0.19081185313629312,0.8030798525703988,0.26940058648774867,0.0109890109890109,0.0099900099900099
Random forest,B wPLI (5673),0.47397801952949015,0.16506688816456838,0.488568068835926,0.201736221372752,0.5634365634365635,0.8531468531468531
Random forest,C A+B (5697),0.6712525832011126,0.09691247375465863,0.8199500447031959,0.06755481567021013,0.0119880119880119,0.0019980019980019
SVM (RBF),A power (24),0.7203023447141094,0.18705910737119485,0.8496261599045212,0.19919172795435938,0.0069930069930069,0.0159840159840159
SVM (RBF),B wPLI (5673),0.5339410589410589,0.1091626981962414,0.5779955338778867,0.16283213815562028,0.4485514485514486,0.2647352647352647
SVM (RBF),C A+B (5697),0.5888654360345538,0.12538485034692637,0.6170724810903383,0.16067861695301014,0.0479520479520479,0.0939060939060939
XGBoost,A power (24),0.7127740886564417,0.2104828569173173,0.8485729309206199,0.22217542499647344,0.0119880119880119,0.0069930069930069
XGBoost,B wPLI (5673),0.5195657161465984,0.15754104922442594,0.49646618612479954,0.1712747857752047,0.6283716283716284,0.9410589410589412
XGBoost,C A+B (5697),0.652230930833872,0.11145203274572142,0.7577959208158789,0.12534700662003578,0.0099900099900099,0.0019980019980019
